2026-07-03 07:07:21 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit-au.json | status=200 | duration_ms=175 | attempt=1]
2026-07-03 07:07:22 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit-au.json | availability=in_stock]
2026-07-03 07:07:22 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:22 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:23 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/silhouette-bra.json | status=200 | duration_ms=209 | attempt=1]
2026-07-03 07:07:23 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit-ca.json | status=200 | duration_ms=208 | attempt=1]
2026-07-03 07:07:23 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/silhouette-bra.json | availability=out_of_stock]
2026-07-03 07:07:23 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit-ca.json | availability=in_stock]
2026-07-03 07:07:23 DEBUG    app.processing.classifier — Classification terminée [name=Silhouette Bra | family=Bra | subfamily=Underwire Bra | compression=Forte | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:23 DEBUG    app.workflow.runner — Enrichissement [product=Silhouette Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:23 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:23 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:23 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/crossover-contour-bra.json | status=200 | duration_ms=179 | attempt=1]
2026-07-03 07:07:23 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossover-contour-bra.json | availability=out_of_stock]
2026-07-03 07:07:23 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver Contour Bra | family=Bra | subfamily=None | compression=Moyenne | zones=[]]
2026-07-03 07:07:23 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver Contour Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:24 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/crossflex-bra.json | status=200 | duration_ms=225 | attempt=1]
2026-07-03 07:07:24 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossflex-bra.json | availability=out_of_stock]
2026-07-03 07:07:24 DEBUG    app.processing.classifier — Classification terminée [name=CrossFlex Activity Bra | family=Bra | subfamily=None | compression=Extra-forte | zones=['Dos']]
2026-07-03 07:07:24 DEBUG    app.workflow.runner — Enrichissement [product=CrossFlex Activity Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:25 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/cami-bodysuit-gb.json | status=200 | duration_ms=180 | attempt=1]
2026-07-03 07:07:25 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/cami-bodysuit-gb.json | availability=in_stock]
2026-07-03 07:07:25 DEBUG    app.processing.classifier — Classification terminée [name=Cami Bodysuit | family=Bodysuit | subfamily=None | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:25 DEBUG    app.workflow.runner — Enrichissement [product=Cami Bodysuit | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:26 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/crossover-v-neck-bra.json | status=200 | duration_ms=212 | attempt=1]
2026-07-03 07:07:26 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/crossover-v-neck-bra.json | availability=in_stock]
2026-07-03 07:07:26 DEBUG    app.processing.classifier — Classification terminée [name=CrossOver V-Neck Bra | family=Bra | subfamily=Underwire Bra | compression=Moyenne | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:26 DEBUG    app.workflow.runner — Enrichissement [product=CrossOver V-Neck Bra | promo_freq=0.0 | price_stability=0.0]
2026-07-03 07:07:27 DEBUG    app.scraping.http_client — Requête HTTP [method=GET | url=https://honeylove.com/products/low-back-bodysuit-us.json | status=200 | duration_ms=229 | attempt=1]
2026-07-03 07:07:27 DEBUG    app.scraping.shopify_connector_mixin — _resolve_availability() [url=https://honeylove.com/products/low-back-bodysuit-us.json | availability=in_stock]
2026-07-03 07:07:27 DEBUG    app.processing.classifier — Classification terminée [name=Low-Back Bodysuit | family=Bodysuit | subfamily=None | compression=Forte | zones=['Dos', 'Poitrine']]
2026-07-03 07:07:27 DEBUG    app.workflow.runner — Enrichissement [product=Low-Back Bodysuit | promo_freq=0.0 | price_stability=0.0]
